"VNUM","Sub-feature","small crater?","NB","W*_T from","d [km]","h [km]","H [km]","W* [km]","C [dimless]","ave. ei [dimless]","T [dimless]","sv"
283122,0,0,4,1,,,1.230,9.200,,1.950,0.277,35
283130,0,0,4,1,3.350,0.200,1.550,7.550,0.390,1.980,0.222,12
283131,0,0,4,1,,,1.050,2.500,,1.720,0.107,0
283140,0,0,1,1,,,1.240,3.285,,2.690,0.342,10
283141,0,0,4,1,0.670,0.120,1.340,2.880,,1.360,0.117,2
283143,0,0,1,1,,,1.440,7.350,,2.460,0.187,23
283150,0,0,1,1,,,1.080,4.165,,3.990,0.310,7
283160,0,0,4,1,2.000,0.500,1.220,3.355,0.400,1.950,0.298,2
283170,0,0,1,1,,,1.290,6.300,,2.650,0.191,12
283180,0,0,1,1,,,1.790,7.150,,2.030,0.105,19
283190,0,0,1,1,,,1.690,9.800,,2.890,0.267,55
283210,0,0,4,1,,,1.340,6.350,,2.440,0.086,13
283220,0,0,4,1,,,2.030,7.000,,1.670,0.040,6
283230,0,0,1,1,,,1.010,4.030,,1.480,0.233,7
283240,0,0,4,1,0.500,0.035,1.450,4.415,0.550,1.960,0.186,4
283260,0,0,4,1,,,0.870,3.855,,2.070,0.128,4
283270,0,0,4,1,,,1.270,3.875,,1.530,0.133,2
283271,0,,1,0,10.000,0.500,0.750,23.000,0.700,,0.217,
283290,0,0,1,1,6.100,0.300,0.860,9.250,0.540,3.420,0.364,63
284010,0,0,4,1,3.500,0.100,0.730,4.890,0.550,1.460,0.627,6
284011,0,0,4,1,,,0.490,1.135,,1.330,0.139,0
284040,0,1,4,1,,,0.800,3.965,,1.460,0.197,1
284041,0,0,4,1,,,0.830,2.540,,1.590,0.255,3
284050,1,1,4,1,,,0.840,2.335,,1.120,0.172,0
284060,0,0,4,1,1.640,0.210,0.380,1.360,0.580,,0.605,0
284090,0,0,4,1,,,0.360,1.175,,1.400,0.583,3
284110,0,0,4,1,,,0.710,1.320,,1.800,0.127,0
284120,0,,,0,0.031,0.016,0.004,0.046,0.670,,0.341,
284143,0,,1,0,2.400,0.400,2.350,13.200,0.710,,0.091,
284150,0,0,4,1,,,0.830,1.565,,1.190,0.186,0
284160,0,0,4,1,2.340,0.310,0.940,3.675,0.550,1.710,0.319,0
284170,1,,2,0,6.000,0.150,2.150,24.000,0.510,,0.125,
284170,1,,2,0,3.000,0.200,2.200,24.500,0.480,,0.061,
284180,0,0,4,1,0.690,0.160,0.690,2.035,,1.260,0.356,0
284190,0,0,4,1,,,0.280,1.160,,1.930,0.290,2
284192,0,0,4,1,,,0.490,1.200,,1.350,0.479,0
284200,0,0,4,1,3.640,0.450,0.770,3.275,0.250,2.410,0.556,0
285010,0,0,4,1,,,0.700,1.720,,1.910,0.363,3
