Amasing,Indonesia,268072
Bibinoi,Indonesia,268073
Balut,Philippines,271010
Parker,Philippines,271011
Matutum,Philippines,271020
Apo,Philippines,271030
Leonard Range,Philippines,271031
Makaturing,Philippines,271040
Latukan,Philippines,271050
Ragang,Philippines,271060
Kalatungan,Philippines,271061
Musuan,Philippines,271070
Malindang,Philippines,271071
Camiguin,Philippines,271080
Cuernos de Negros,Philippines,272010
Kanlaon,Philippines,272020
Mandalagan,Philippines,272030
Silay,Philippines,272040
Cabalían,Philippines,272050
Mahagnao,Philippines,272070
Biliran,Philippines,272080
Bulusan,Philippines,273010
Pocdol Mountains,Philippines,273020
Mayon,Philippines,273030
Masaraga,Philippines,273031
Iriga,Philippines,273041
Isarog,Philippines,273042
Malindig,Philippines,273044
Banahaw,Philippines,273050
San Pablo Volcanic Field,Philippines,273060
Taal,Philippines,273070
Laguna Caldera,Philippines,273080
Mariveles,Philippines,273081
Natib,Philippines,273082
Pinatubo,Philippines,273083
Arayat,Philippines,273084
Amorong,Philippines,273085
Patoc,Philippines,273087
Ambalatungan Group,Philippines,273088
Cagua,Philippines,273090
Camiguin de Babuyanes,Philippines,274010
Didicas,Philippines,274020
Babuyan Claro,Philippines,274030
Unnamed,Philippines,274050
Iraya,Philippines,274060
Hainan Volcanic Field,China,275001
Ly Son Group,Vietnam,275020
Toroeng Prong,Vietnam,275030
Haut Dong Nai,Vietnam,275040
Bas Dong Nai,Vietnam,275050
"Cendres, Ile des",Vietnam,275060
Veteran,Vietnam,275070
Popa,Burma (Myanmar),275080
Singu Plateau,Burma (Myanmar),275100
Tengchong,China,275110
Unnamed,Taiwan,281020
Unnamed,Taiwan,281030
Kueishantao,Taiwan,281031
Tatun Group,Taiwan,281032
Submarine Volcano NNE of Iriomotejima,Japan,282010
Io-Torishima,Japan,282020
Yokoate-jima,Japan,282021
Akusekijima,Japan,282022
Suwanosejima,Japan,282030
Nakanoshima,Japan,282040
Kuchinoshima,Japan,282043
Kuchinoerabujima,Japan,282050
Kikai,Japan,282060
Ata,Japan,282070
Aira,Japan,282080
Yonemaru-Sumiyoshiike,Japan,282081
Kirishimayama,Japan,282090
Fukue,Japan,282091
Unzendake,Japan,282100
Asosan,Japan,282110
Kujusan,Japan,282120
Yufu-Tsurumi,Japan,282130
Abu,Japan,283001
Sanbesan,Japan,283002
Oki-Dogo,Japan,283003
Izu-Tobu,Japan,283010
Hakoneyama,Japan,283020
Fujisan,Japan,283030
Yokodake,Japan,283031
Ontakesan,Japan,283040
Hakusan,Japan,283050
Norikuradake,Japan,283060
Akandanayama,Japan,283069
Yakedake,Japan,283070
Washiba-Kumonotaira,Japan,283071
Midagahara,Japan,283080
Niigata-Yakeyama,Japan,283090
Myokosan,Japan,283100
Asamayama,Japan,283110
Kusatsu-Shiranesan,Japan,283120
Shiga,Japan,283121
Harunasan,Japan,283122
Akagisan,Japan,283130
Hiuchigatake,Japan,283131
Nikko-Shiranesan,Japan,283140
Nantai,Japan,283141
Omanago Group,Japan,283142
Takaharayama,Japan,283143
Nasudake,Japan,283150
Numazawa,Japan,283151
Bandaisan,Japan,283160
Adatarayama,Japan,283170
Azumayama,Japan,283180
Zaozan,Japan,283190
Hijiori,Japan,283191
Naruko,Japan,283200
Kurikomayama,Japan,283210
Chokaisan,Japan,283220
Akita-Komagatake,Japan,283230
Iwatesan,Japan,283240
Hachimantai,Japan,283250
Akita-Yakeyama,Japan,283260
Megata,Japan,283262
Iwakisan,Japan,283270
Towada,Japan,283271
Hakkodasan,Japan,283280
Osorezan,Japan,283290
Izu-Oshima,Japan,284010
Toshima,Japan,284011
Niijima,Japan,284020
Kozushima,Japan,284030
Miyakejima,Japan,284040
Mikurajima,Japan,284041
Kurose Hole,Japan,284042
Hachijojima,Japan,284050
Aogashima,Japan,284060
Kita-Bayonnaise,Japan,284061
Myojinsho,Japan,284070
Sumisujima,Japan,284080
Izu-Torishima,Japan,284090
Sofugan,Japan,284091
Suiyo Seamount,Japan,284093
Mokuyo Seamount,Japan,284094
Doyo Seamount,Japan,284095
Nishinoshima,Japan,284096
Kaikata Seamount,Japan,284097
Kaitoku Seamount,Japan,284100
Kita-Ioto,Japan,284110
Ioto,Japan,284120
Kita-Fukutokutai,Japan,284121
Fukutoku-Oka-no-Ba,Japan,284130
Minami-Hiyoshi,Japan,284131
Nikko,Japan,284132
Fukujin,United States,284133
Kasuga 1,United States,284134
Kasuga 2,United States,284135
NW Eifuku,United States,284136
Daikoku,United States,284137
Farallon de Pajaros,United States,284140
Ahyi,United States,284141
Supply Reef,United States,284142
Maug Islands,United States,284143
Asuncion,United States,284150
Agrigan,United States,284160
Pagan,United States,284170
Alamagan,United States,284180
Guguan,United States,284190
Zealandia Bank,United States,284191
Sarigan,United States,284192
South Sarigan Seamount,United States,284193
Anatahan,United States,284200
East Diamante,United States,284201
Ruby,United States,284202
Esmeralda Bank,United States,284210
NW Rota-1,United States,284211
Forecast Seamount,United States,284220
Seamount X,United States,284230
Mariana Back-Arc Segment at 15.5°N,United States,284305
Oshima-Oshima,Japan,285010
Esan,Japan,285011
Hokkaido-Komagatake,Japan,285020
Toya,Japan,285030
Niseko,Japan,285031
Yoteizan,Japan,285032
Kuttara,Japan,285034
Shikotsu,Japan,285040
Rishirizan,Japan,285041
Tokachidake,Japan,285050
Taisetsuzan,Japan,285060
Maruyama,Japan,285061
Shikaribetsu Group,Japan,285062
Akan,Japan,285070
Kussharo,Japan,285080
Mashu,Japan,285081
Rausudake,Japan,285082
Tenchozan,Japan,285083
Shiretoko-Iozan,Japan,285090
Tomariyama [Golovnin],Japan - administered by Russia,290010
Raususan [Mendeleev],Japan - administered by Russia,290020
Ruruidake [Smirnov],Japan - administered by Russia,290021
Chachadake [Tiatia],Japan - administered by Russia,290030
Berutarubesan [Berutarube],Japan - administered by Russia,290040
Moekeshiwan [Lvinaya Past],Japan - administered by Russia,290041
Etorofu-Atosanupuri [Atosanupuri],Japan - administered by Russia,290050
Nishihitokappuyama [Bogatyr Ridge],Japan - administered by Russia,290060
Unnamed,Japan - administered by Russia,290061
Etorofu-Yakeyama [Grozny Group],Japan - administered by Russia,290070
Odamoisan [Tebenkov],Japan - administered by Russia,290072
Sashiusudake [Baransky],Japan - administered by Russia,290080
Chirippusan [Chirip],Japan - administered by Russia,290090
Rucharuyama [Golets-Tornyi Group],Japan - administered by Russia,290091
Moyorodake [Medvezhia],Japan - administered by Russia,290100
Rakkibetsudake [Demon],Japan - administered by Russia,290110
Ivao Group,Russia,290111
Rudakov,Russia,290112
Tri Sestry,Russia,290113
Kolokol Group,Russia,290120
Chirpoi,Russia,290150
Unnamed,Russia,290160
Milna,Russia,290161
Zavaritzki Caldera,Russia,290180
Prevo Peak,Russia,290190
Uratman,Russia,290191
Ketoi,Russia,290200
Ushishur,Russia,290210
Srednii,Russia,290211
Rasshua,Russia,290220
Sarychev Peak,Russia,290240
Raikoke,Russia,290250
Chirinkotan,Russia,290260
Ekarma,Russia,290270
Sinarka,Russia,290290
Kharimkotan,Russia,290300
Tao-Rusyr Caldera,Russia,290310
Nemo Peak,Russia,290320
Shirinki,Russia,290331
Fuss Peak,Russia,290340
Karpinsky Group,Russia,290350
Chikurachki,Russia,290360
Vernadskii Ridge,Russia,290370
Ebeko,Russia,290380
Alaid,Russia,290390
Mashkovtsev,Russia,300001
Kambalny,Russia,300010
Koshelev,Russia,300020
Yavinsky,Russia,300021
Diky Greben,Russia,300022
Kurile Lake,Russia,300023
Iliinsky,Russia,300030
Zheltovsky,Russia,300040
Kell,Russia,300041
Belenkaya,Russia,300042
Ksudach,Russia,300050
Ozernoy,Russia,300051
Olkoviy Volcanic Group,Russia,300052
Khodutka,Russia,300053
Piratkovsky,Russia,300054
Ostanets,Russia,300055
Otdelniy,Russia,300056
Golaya,Russia,300057
Asacha,Russia,300058
Visokiy,Russia,300059
Mutnovsky,Russia,300060
Gorely,Russia,300070
Opala,Russia,300080
Tolmachev Dol,Russia,300082
Vilyuchik,Russia,300083
Barkhatnaya Sopka,Russia,300084
Bolshe-Bannaya,Russia,300087
Koryaksky,Russia,300090
Avachinsky,Russia,300100
Dzenzursky,Russia,300110
Zhupanovsky,Russia,300120
Veer,Russia,300121
Kostakan,Russia,300122
Bakening,Russia,300123
Zavaritsky,Russia,300124
Akademia Nauk,Russia,300125
Karymsky,Russia,300130
Maly Semyachik,Russia,300140
Bolshoi Semiachik,Russia,300150
Taunshits,Russia,300160
Uzon,Russia,300170
Kikhpinych,Russia,300180
Krasheninnikov,Russia,300190
Kronotsky,Russia,300200
Schmidt,Russia,300201
Gamchen,Russia,300210
Komarov,Russia,300220
Vysoky,Russia,300221
Kizimen,Russia,300230
Tolbachik,Russia,300240
Udina,Russia,300241
Zimina,Russia,300242
Bezymianny,Russia,300250
Kamen,Russia,300251
Klyuchevskoy,Russia,300260
Ushkovsky,Russia,300261
Sheveluch,Russia,300270
Piip,Russia,300271
Khangar,Russia,300272
Cherpuk Group,Russia,300273
Ichinsky,Russia,300280
Maly Payalpan,Russia,300290
Bolshoi Payalpan,Russia,300300
Plosky,Russia,300310
Akhtang,Russia,300320
Kozyrevsky,Russia,300330
Romanovka,Russia,300340
Uksichan,Russia,300350
Bolshoi-Kekuknaysky,Russia,300360
Kulkev,Russia,300370
Geodesistoy,Russia,300380
Anaun,Russia,300390
Krainy,Russia,300400
Kekurny,Russia,300410
Eggella,Russia,300420
Verkhovoy,Russia,300440
Alney-Chashakondzha,Russia,300450
Cherny,Russia,300460
Pogranychny,Russia,300470
Zaozerny,Russia,300480
Bliznets,Russia,300490
Kebeney,Russia,300500
Fedotych,Russia,300510
Shisheika,Russia,300511
Terpuk,Russia,300512
Sedankinsky,Russia,300520
Leutongey,Russia,300530
Tuzovsky,Russia,300540
Gorny Institute,Russia,300550
Kinenin,Russia,300551
Bliznetsy,Russia,300552
Titila,Russia,300560
Mezhdusopochny,Russia,300570
Shishel,Russia,300580
Elovsky,Russia,300590
Alngey,Russia,300600
Uka,Russia,300610
Kaileney,Russia,300620
Plosky,Russia,300630
Bely,Russia,300640
